Erwähnung;Personenname
Pfaltzgraf;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Durchleüchtige, Hochgeborne Fürst vnd Herr,Herr Wolffgang Wilhalm, Pfaltzgrafe beÿ Rhein,in Baÿrn, zu Gülch, Cleue, vnd Berg Hertzog,Graue zu Veldentz, Sponhaim, zur Marckh,Rauenspurg vnd Mörs, Herr zu Rauenstain;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Fürstin;Magdalena von Bayern
gnädiger Fürst und Herr;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Gemahlin;Magdalena von Bayern
Anna von Jülich-Kleve-Berg;Anna von Pfalz-Neuburg
Maximilian I. von Bayern;Maximilian I., Herzog/Kurfürst (Bayern)
Ferdinand von Köln;Ferdinand, Kurfürst (Köln)
Albrecht VI. von Bayern-Leuchtenberg;Albrecht VI., Landgraf (Bayern-Leuchtenberg)
Herr breuti-gam;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
grafen von Rechberg;Wolf Konrad von Rechberg
Hochzei-terin;Magdalena von Bayern
graf Friderich von Solms;Friedrich zu Solms-Rödelheim
Doctor Caspar Heuchelin;Caspar Heuchelin
Herrn DoctorHailbruner;Jakob Heilbronner
JhreDurchleucht;Maximilian I., Herzog/Kurfürst (Bayern)
Hertzog Wolfgang Wilhelms;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Hertzog Philips Ludwig;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
gemah-lin;Magdalena von Bayern
Ludwig Endris Lem-lin;Ludwig Andreas Lemblin
Hertzogen Ma-ximilianj in Baÿrn Durchleucht;Maximilian I., Herzog/Kurfürst (Bayern)
Herr graf von Rechberg;Wolf Konrad von Rechberg
Herr Graf Eÿtel Fri-derich von Hohenzollern;Eitel Friedrich, Bischof (Osnabrück)
Hertzogen Wilhalms in Baÿrn Durchleucht;Wilhelm V., Herzog (Bayern)
Obrist Haßlang;Alexander von Haßlang
Hertzogen Augustj;August, Pfalzgraf (Pfalz-Sulzbach)
Johann Fri-derichs;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
Wolff Philipps von Brand;Wolfgang Philipp von Brandt
Ertzhertzogen Ferdinandj zu Öster-reich;Ferdinand II., Kaiser (HRR)
Hertzogen Albrechts;Albrecht VI., Landgraf (Bayern-Leuchtenberg)
Bischoffen zu Eÿstett;Johann Christoph von Westerstetten, Bischof (Eichstätt)
ChristoffGribel;Christoph Griebel zu Stockau
Tobias Herstentzkÿ;Tobias Freiherr von Herstenzki zu Herstein
Endris Forstenhäuser Doctor;Andreas Forstenheuser
Breuti-gam;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Hertzogin von Neuburg;Anna von Pfalz-Neuburg
Herrn Hochzeiters;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
HertzogMaximilian;Maximilian I., Herzog/Kurfürst (Bayern)
Churfürst von Cöllen;Ferdinand, Kurfürst (Köln)
N. Baudin;Nicolas Bodin, seigneur de Montguichet
HerrHochzeiter;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Fürstlichen Hochzeiterin;Magdalena von Bayern
Hannsvon Schönstain;Johann von Schönstein
regirenden Fürsten gemahlin;Elisabeth Renata von Lothringen
Hertzog Albrechts ge-mahlin;Mathilde von Bayern
fürstliche braut;Magdalena von Bayern
Capellmaister;Bernardino Borlasca
Harpffenist;Johann Khurz
Herrn Chur-fürsten Durchleucht;Ferdinand, Kurfürst (Köln)
Herrn Maximilianj;Maximilian I., Herzog/Kurfürst (Bayern)
Maximiliana;Maria Maximiliana von Bayern
Bischoffvon Eÿstett;Johann Christoph von Westerstetten, Bischof (Eichstätt)
gespons;Magdalena von Bayern
Breuti-gams;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Hertzogin braut;Magdalena von Bayern
alte Fraw Pfaltzgräfin;Anna von Pfalz-Neuburg
Hertzog Albrechts gemahlin;Mathilde von Bayern
Hertzog Wilhelm;Wilhelm V., Herzog (Bayern)
regierende Herr;Maximilian I., Herzog/Kurfürst (Bayern)
sein gemahlin;Elisabeth Renata von Lothringen
Euer Fürstliche Gnaden;Philipp II., Herzog (Pommern-Stettin)
alte Herr;Wilhelm V., Herzog (Bayern)
Veit Abel;Veit Abel
re-gierende Herr;Maximilian I., Herzog/Kurfürst (Bayern)
graf vonEisenburg;Christian, Graf (Waldeck)
Maximilianj;Maximilian I., Herzog/Kurfürst (Bayern)
HannßWilhalm;Hans Wilhelm Hundt von Lauterbach
Hanns Philipps;Hans Philipp Hundt von Lauterbach auf Eisolzried
Fer-dinand Hunden;Wolf Ferdinand Hundt auf Falkenstein
Herrn vom Thurn;Alexander von Thurn
Pepfenhauser;Hans Adolph von Pfeffenhausen
Cri-uellj;Julius Caesar Crivelli
Binickhausen;Engelbert von Bönninghausen
Haßlang;Alexander von Haßlang
Gaÿßberg;Friedrich von Gaisberg
Kurtzen;Philipp Kurtz von Senftenau
Haslang;Alexander von Haßlang
Gaißberger;Friedrich von Gaisberg
Hanns Adam Vöhlin von Fri-ckenhausen, Freÿherrn auf Jlartiessen, vnndHerrn zu Neuburg;Hans Adam Vöhlin von Frickenhausen
von Roth,Thumbherrn;David von Roth
Herrn breütigams;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
DOMINO WOLFGANGO GVLIELMO, CO-mitj Palatino ad Rhenum, Bavariae Juliacj, Cliuiaeet Montium Ducj, plurimarum ditionum etprovinciarum Comitj, ac Domino;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
DOMINAE MAGDALENAE;Magdalena von Bayern
Serenissimj Principis ac Dominj Dominj Wilhelmj,Ducis Bavariae, Comitis Palatinj Rhenj;Wilhelm V., Herzog (Bayern)
SPONSO;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
SPONSA;Magdalena von Bayern
PARENTEM SPONSI;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
FILIVM;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
SPONSE;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Johanne Cellario;Johann Cellarius
her-ren breutigams;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Wildenstain;Johann Wilhelm von Wildenstein
Solms;Friedrich zu Solms-Rödelheim
Hohen-zollern;Eitel Friedrich, Bischof (Osnabrück)
Eÿsenburg;Christian, Graf (Waldeck)
Öttingen;Gottfried von Oettingen-Oettingen
Jonas;Jonas Schiessel
HertzogChristian;Christian I., Pfalzgraf (Pfalz-Birkenfeld-Bischweiler)
Hertzog Augustus;August, Pfalzgraf (Pfalz-Sulzbach)
JohannFriderich;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
Georg Wilhalm;Georg Wilhelm, Pfalzgraf (Pfalz-Birkenfeld)
herrHochzeiter;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Herr Churfürst von Cöllen;Ferdinand, Kurfürst (Köln)
Her-tzog Albrecht;Albrecht VI., Landgraf (Bayern-Leuchtenberg)
Hertzog Philipps Ludwig;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Bischof vonEÿstatt;Johann Christoph von Westerstetten, Bischof (Eichstätt)
Jhre Fürstliche gnaden;Magdalena von Bayern
Friderich;Friedrich, Pfalzgraf (Zweibrücken-Birkenfeld)
Hertzog Jo-hann Friderich;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
Christian;Christian I., Pfalzgraf (Pfalz-Birkenfeld-Bischweiler)
herr breuti-gam;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Hertzog WolffWilhalm;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Herr Georg von Gum-penberg;Georg von Gumppenberg
Her-tzog Augustus;August, Pfalzgraf (Pfalz-Sulzbach)
Herr von Pappenhaim;Maximilian von Pappenheim, Landgraf (Stühlingen)
Hans von Schönstein;Johann von Schönstein
Wolff Wilhelm;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
alte Pfaltz-graf;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Bischof von Eichstätt;Johann Christoph von Westerstetten, Bischof (Eichstätt)
alten Herrn Pfaltzgrafen;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Laurentio Donnero;Lorenz Donner
Wolffgangum Wilhelmum;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Welserus;Anton Welser
Palatinum senio;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
filium;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Bava-riae principem;Maximilian I., Herzog/Kurfürst (Bayern)
principis senioris;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Hugold Beer;Hugold von Behr
Palatinodi Neoburgo;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
princessa di Baviera;Magdalena von Bayern
Principe di Neoburgo;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Doctor Haÿlbronners;Jakob Heilbronner
